ItemDescription,Condition
"Good Condition Trusted Seller Ships Next Business Day
 We are open M-Th 9-4 EST. F 9-1EST. Sat-Sun Closed
 This item is used and fully functional. It is in good condition. There is some light wear on the screen and frame. Battery health is good. No charger included unless pictured in the. We will not give out ESN until after the sale. Verification code will not match listing. We are trusted sellers on Swappa and we can use our profile code for all listings.
 Item ships next business day after purchase. We ship USPS 1st Class free. USPS Priority Mail is $5 and USPS Express is $30. Extra shipping can be purchased by sending the amount to our PayPal link after the purchase of the phone. Comment on the sale page once extra payment is sent.
 If item is defective upon receipt, we will email a return label. This must be reported within 2 days after delivery. Buyer must upload pictures of any issues as so we can verify. If item is no longer wanted return shipping is the responsibility of the buyer.
 
 Damage description
 There is some light wear on the screen and frame.",2
"Apple iPhone SE (Unlocked) [A1662] 16GB w/ USB Charger and Headphones
 GOOD CONDITION - SHOWS SOME SIGNS OF USE
 COMES WITH USB CABLE AND HEADPHONES
 SWAPPA TRUSTED SELLER - PICTURES ARE OF ACTUAL PHONE FOR SALE
 BEING A SWAPPA TRUSTED SELLER, WE ARE PERMITTED TO USE OUR USER CODE RATHER THAN INDIVIDUAL LISTING CODES FOR EACH LISTING. EACH LISTING INCLUDES PICTURES OF THE ACTUAL PHONE FOR SALE THAT YOU WILL BE RECEIVING.
 
 Damage description
 GOOD CONDITION - SHOWS SOME SIGNS OF USE
 
 
 
 COMES WITH USB CABLE AND HEADPHONES
 
 
 
 SWAPPA TRUSTED SELLER - PICTURES ARE OF ACTUAL PHONE FOR SALE
 
 
 
 BEING A SWAPPA TRUSTED SELLER, WE ARE PERMITTED TO USE OUR USER CODE RATHER THAN INDIVIDUAL LISTING CODES FOR EACH LISTING. EACH LISTING INCLUDES PICTURES OF THE ACTUAL PHONE FOR SALE THAT YOU WILL BE RECEIVING.",2
100% Working Condition.New Battery Replacement.Small Imperfection (read details).,2
"This iPhone has been certified by our industry-leading mobile diagnostic software to be 100% fully functional.It is in FAIR cosmetic condition showing signs of use on the screen along with scratching and/or dings on the sides and back casing.Screen may have small cracks/chips in the corner or side bezel that is less than 1"" in length but does not affect functionality.The cracks/chips will not be on the display part of the screen.Premium aftermarket wall charger and USB cable are included.Original packaging is NOT included. Please read carrier description below.",2
Phone is in excellent condition! The phone has always been in a protective cover and the screen is free of any scratches. All accessories and phone are in working order. Phone comes with original box when purchased.,4
This is a used good condition device which shows a sign of normal use with Scratches and maybe Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.No Icloud account linked to the device.We only ship from M-F from 9 AM to 1 PM.,0
"The phone is iCloud Locked and has a Cracked rear case. Therefore, this phone is being SOLD AS IS FOR PARTS OR REPAIR ONLY. The auction will include the iPhone 8 Plus 64GB by itself, there is no charger, USB cable, or any other accessories included.",0
Apple iPhone 5s (Unlocked) Will work with any GSM carrier world wide. Apple certified cable (MFI â€“ Made for iPhone - logo) and UL approved rapid charging power adapter. Grade A 9.5 out of 10) condition.,4
"Hello! Buyers & Sellers! Here we have an almost perfect condition ATT iPhone 6 Plus 64gb in the Space Grey color.Phone was obtained directly from Apple and has a 100% clean IMEI(ESN). Phone has no nicks, scratches, or dents on the screen/body. Items included in the auction: x1 ATT iPhone 6Plus Space Grey. Please let me know if you have any questions or concerns!",4
Good Cosmetic Condition with some Scratches on BACK,2
"Prestigious seller with a lot of reference.I have over 200 5stars rating and 
 almost 1k followers. Bring your SIM card along . Try it before you buy it . 
 Up for sale iPhone 6s 64GB factory unlock . Works for all SIM card world wide . Like new condition 10/10. Clean IMEIand read to be use . Company buy out phones which means is completely paid off. Meet in public places only . Price is firm 220$",4
"Great condition, no visible flaws.",4
Device is NOT CLEAR FOR ACTIVATION - . This item is in GOOD cosmetic condition. It reflects NORMAL USE and has MINOR scratches and/or blemishes.,0
C Grade: 100% fully functional and in fair cosmetic condition. Light scratches on the body. Screen scratches.PLEASE READ ENTIRE DESCRIPTION AND SEE PHOTOS.,2
"â€œ""""""Used, Key Functions Tested. Good Condition, iCloud Unlocked. Clean IMEI Number and NO SIM CARD INCLUDED. Scratches on screen Scratches on back. """"""â€",2
"Mint condition + box and accessories!
 Includes: Phone, original box and accessories 
 Condition: Mint 
 Battery health: 96%
 Warranty information: Not under original warranty 
 iOS version: 11.4.1
 Ships within 1 business day! Express shipping available for $30!",4
"DEVICE CANNOT BE UNLOCKED! FOR USE ON THE AT&T NETWORK ONLY! Device tested 100 percent fully functional. This phone is in poor condition with heavy wear on the display which can slightly affect visibility when the device is powered on. Housing shows nicks and dings. Backing has some markings. Accessories such as SIM Cards and SD Cards are not included. Stock photos used.This device is only guaranteed to work with the carrier that is advertised on this listing and branded on the device.Due to very specific requirements, we cannot guarantee the device will work with any MVNO pre-paid carrier.",1
"in good working condition due to in store testing prior to listing.
 It is in excellent cosmetic shape and looks almost new.
 Does not include a charger, or original retail packaging.",3
Fully Tested. Fully Working. Bad ESN- Sold AS IS- For parts only.,0
"Excellent Condition iPhone 8 Plus 64GB Silver T-Mobile w. USB Cable *FREE SHIPPING *TRUSTED SELLER 
 This Silver iPhone 8 Plus 64GB for T-Mobile is in Excellent condition showing almost no signs of use. The screen and back are near flawless and the phone functions 100% correctly. Phone includes USB cable and AC adapter.
 Will ship on the same day if purchased before 6PM. Will ship early the next morning if purchased after 6PM. Phone is shipped via Priority mail and will take 2-3 business days to arrive.
 
 Damage description
 Excellent condition showing almost no signs of use. The screen and back are near flawless and the phone functions 100% correctly.",4
"This phone has been fully tested and is 100% fully functional. The phone has a clean ESN and no iCloud lock. It is unlocked and can be used on GSM carriers (AT&T, T-Mobile, Ting etc.) The phone is in very good condition with almost no wear from use. The phone comes with a brand new (non-original) charger.",3
"Mint Condition, 10/10, Clean IMEI",4
"iPhone 7 - You Want it! (W/ Wallet Case)
 
 My old best friend, My iPhone 7.I hope you will offer it a loving home.I'm including the Black wallet case in the Photos.
 
 Damage Description
 
 Great condition, very small nicks on the corners.This is a model A1778.
 
 
 
 All devices must be fully functional and meet our criteria for sale.",3
"iPhone XS Max Gray 64GB Verizon Model A1921 Great Condition with Box, Accessories
 
 My second attempt at a big screen. Phone is fantastic but just too big for me. No issues, like new all around except one scratch on face near camera (see photos). No effect to any functions or camera. Used on VZ network, no issues. Comes with phone, original box, accessories (new). Under original apple warranty. Ships out quickly. Thanks for reading! 
 
 Damage Description
 
 One small scratch - see listing
 
 
 
 All devices must be fully functional and meet our criteria for sale.",2
"The phone is fully functional and is in very good cosmetic condition. The screen has a very small surface scratch...see pics. The auction will include the phone by itself, there is no charger, USB cable, or any other accessories included.",2
"DEVICE CANNOT BE UNLOCKED! FOR USE ON THE SPRINT NETWORK ONLY! Device tested 100 percent fully functional. This phone is in good condition with light markings on the display which do not affect visibility when the device is powered on. Housing shows light wear. Backing has some light markings. Accessories such as SIM Cards and SD Cards are not included. Stock photos used. This device is only guaranteed to work with the carrier that is advertised on this listing and branded on the device.Due to very specific requirements, we cannot guarantee the device will work with any MVNO pre-paid carrier.",2
"iPhone 7 - 128Gb - Verizon/Unlocked - Ships Today (Before 2PM EST) - 30 Day Warranty
 
 ""Overall cosmetic condition: A Grade
 Description: Great condition having little to no wear.
 For a better idea of damage, look at the pictures and read the damage description section.
 OS Version: iOs 12.1.2This was recorded at the time of testing and may have been updated since. Usually it will be on this OS version. We will not accept returns for firmware issues. 
 Unlocked: YesThis device is factory unlocked and can be activated with any carrier. Check with your carrier prior to purchasing to make sure this device is supported.) There will be no sim card provided with this device.
 Battery Health Percentage: 85%
 No accessories will be included unless stated.
 Please make sure you read the whole listing and ask questions before making your purchase
 These phones are used and should be treated as such. Do not expect an OEM condition device.
 Inventory Number: 1905069
 SKU: 1090110651""
 
 Damage Description
 
 ""Screen: 10/10Description: No Wear.Please Note: The rating here is a cosmetic (scratching) rating. Defects are in condition notes.
 Frame: 10/10Description: No wear
 Back: 9/10Description: Little to no wear. (Light scratching/dents)
 Overall: 29/30
 Condition Notes: These devices are used and may include any of the following flaws, gap between the screen and frame, slight yellowing of LCD, small bright spots, replaced parts, degraded audio, degraded battery life and more. Do not expect the battery life to be perfect.We are not the original owners of any of the devices we sell. Please be aware of any manufacturer defects as they should be expected. Please research any device you plan on purchasing. We cannot be held responsible for manufacturer defects.""
 
 
 
 All devices must be fully functional and meet our criteria for sale.",3
"Inspection of this device is determined to be in B/C grade condition. Only due to the fact that the frame of the screen is lifted a bit. It's barely noticeable and only cosmetic! (see pics for more details). The device conditions are as follows: A - Device is in excellent condition, and shows very little signs of use. B - Device is in good condition, and you might see some small scuffs when the screen is off, as well as some very minor nicks on the back of the device. C - Device is in fair condition, and has significant scratches on the screen/dents and scratches on the housing. Please note this device has been fully tested for full functionalities.",2
Has very slight spot of screenburn that wont affect use.,1
"New open box, has minor scuffs.",3
"This phone comes in original packaging with all accessories. It has 3 months warranty from the seller.Condiiton 8/10 and functionality 10/10. The phone has few scuffs on either side, but not too deep.",3
"White & Silver iPhone 5 A1428 with SIM tray. No screen,not recognized by itunes. Unknown carrier, gb, icloud status. Good IMEI: 013333001491539. Needs new battery. Small scratches and dents around the body and back. please feel free to message me with any questions",0
"*free case* iPhone 6 Unlocked 64GB
 
 iphone 6 64gb unlocked for sale, battery life is great and phone is in great physical shape.comes with iphone and case
 
 Damage Description
 
 minor scratch and dent on bottom edge, does not affect daily use at all
 
 
 
 All devices must be fully functional and meet our criteria for sale.",3
"Fully functional iPhone 6 16GB A1549.No major nicks or dings to the housing.No chips or cracks in the screen.AT&T carrier unlocked with clean ESN.It can probably be carrier unlocked, we did not try to.iCloud unlocked.Full refunds only, no partial refunds.",3
Normal wear consistent with normal use.,2
"Beautiful condition! All glass is gorgeous! Front glass is perfect! Back glass is superb, but has extremely minor scratches that I think are from the case. Edges also have some minor scratchesthat would easily be covered by any case, but I always want full disclosure for happy customers! Kept in case 24/7 since purchase with high quality screen protector, which has protected this incredible phone! Includes original box for gifting!Includes original new Apple charging block and wire! (NO earbuds.) (Block has slight black smudge on it - that is how it came NEW)",3
IPHONE 7 PLUS BLACK AT&T NETWORK 128 GB NO ICLOUD ITS CLEAR FOR THE NEW OWNER AND I RESET ITSO ITS GOOD TO GO THE ONLY PROBLEMS ITS HAVING IS HOME BUTTON NOT WORKING AND I CANT HEAR ON IT FOR SOME REASON I TRIED A SIM CARD IN AND TRIED TO MAKE CALLS ON IT BUT I CANT HEAR MAYBE THE SPEAKER IS GONE OUT ON IT I DONT KNOW WHATS WRONG WITH IT BUT THATS ALL AT MY KNOWLEDGE THAT THE ISSUES IS AND IT ON THE HOME SCREEN FOR USE I DO HAVE A PASSCODE ON IT SO WHOEVER BUY IT I WILL SEND THE CODE WITH IT IM SELLING IT AS IS NO RETURN OR NO REFUNDS FINAL SALE AS IS AND IF ANYTHING ELSE WRONG BESIDE WHAT I DISCLOSE I DID NOT KNOW TO MY KNOWLEDGE SO IM JUST BEING HONEST THE PHONE IS SOLD FOR PARTS NOT WORKING AND IM SELLING IT AS IS,0
"The product's external housing is severely/heavily damaged. Specific defects include: Housing Wear - Missing/Damaged, Minor Screen Separation, Display Lens Wear - Heavy, Light iPhone Halo. This item has been professionally tested.It powers on and functions normally, with the exception of the following non-essential functional issue(s): Loudspeaker",1
"Apple Iphone X 256gb silver Factory Unlocked Nr Mint, Warr til 6/7/19, Battery - 91%
 This posting is for an Apple Iphone X 256gb silver Factory Unlocked smartphone.It can be used on any carrier worldwide.It has a tempered glass screen protector already installed.Itâ€™s in near mint condition (thereâ€™s a few light scratches on the back, but the rest is near perfect).The phone is silver, but has a grey SIM card tray.It still has the original Apple warranty until June 7, 2019.The battery health is 91%.
 This is for the phone ONLY!!!
 
 Damage description
 None",3
"This unit has been data wiped and restored to factory settings. This unit shows moderate to heavy signs of use, including multiple light to deep scratches on the screen and back casing. This unit includes the AC Adapter, Lightning Cable, Earphones, and 3.5mm Adapter. This unit comes packaged in its original box.",2
Near mint (minor scratches on the back),3
Fully functional just needs a new screen.,0
"iPhone XS 256gb good condition 
 
 Works great under warranty Light scraches on screen very small Estimated Expiration Date:March 3, 2020
 
 Damage Description
 
 Little scraches on the screen 
 
 
 
 All devices must be fully functional and meet our criteria for sale.",2
iCloud Locked,0
"Apple iPhone 8 Plus Space Gray -256GB - Unlocked ( A1897 )
 iPhone 8 Plus 256GB Space Gray (AT&T/T-Mobile/Global/A1897) UnlockedLight scratches on screen as stated in damage descriptionHousing and back glass are in great conditionFully Tested and Functional Black Otterbox Symmetry Case included
 
 Damage description
 Multiple Light scratches on screen- Nothing heavy or deep
 
 Housing and back glass are in great condition",2
"Listing for Parts/Not Working/As is...No Returns!!!!Bad ESN/ Locked to an Acct. / Sim wont recognizeUsed items may have mild/light scratches, dust/dirt, normal wear/useAs seen in pictures",0
"ATT provider
 cracked screen and slight discoloration
 works perfect other than that
 comes with charg",1
"Excellent condition iPhone 7 (product RED) 
 
 iPhone 7 product RED, 128gb storage, fantastic condition. Was my baby for quite awhile, but it's time to move on. Comes with original charger and cable. I also installed a custom tempered glass screen protector on it that hides the white front. I didn't think it looked right. You can also purchase button stickers that look great and still work with fingerprint ID on amazon for $10. Comes with two cases, a Caseology red case and a clear Spigen Air Cushion Technology case and a black phone skin I never used. The battery is at 92% capacity. If you have any questions please ask. 
 
 
 
 All devices must be fully functional and meet our criteria for sale.",4
USED but in Very Condition 8/10.,3
"SALVAGE PARTS, NO AX ESSTO HOME SCREEN ICCLAOD IS ON . screen is cracked.",0
PARTS ONLY !!!!!,0
"Cracked screen, fully functional",1
"iPhone 8 Plus 64GB GREY - Great Condition
 
 For any carrier, works perfectly, condition is great. I accept returns if you're not satisfied.
 
 Damage Description
 
 Very small usage scruffs, nothing mayor, please see pictures 
 
 
 
 All devices must be fully functional and meet our criteria for sale.",3
Doesn't charge or turn on. iCloud locked.,0
"The phone is used but in average condition and comes with a Charger. Cosmetically the phone will show signs of use, including some scratches and scuffs to the screen and casing. It wonâ€™t have cracks on the screen or casing. It has been fully tested and is in full working order.This Phone which is unlocked to be used with GSM carriers. Only Phone & Charger.",2
"FREE BLUETOOTH SPEAKER ~ FREE 10ft CHARGER ~ Apple iPhone 7 Plus - 32GB - UNLOCKED - FAST SHIPPING!
 FREAKY FAST SHIPPING!
 Apple iPhone 7 Plus 32GB Silver - CDMA+GSM Unlocked (A1661)
 9.7/10 Condition: Light scuffs/scratches on body (pictured.)
 Phone comes with a FREE Water Resistant Bluetooth Speaker, a FREE 10ft Braided Charger Cable, a FREE already installed BRAND NEW Tempered Glass Screen Protector, and a 45-Day Warranty! 84% Battery Health. iCloud has been removed. Clean ESN. CDMA+GSM Unlocked. Silver Color.
 Thank you for your interest, Please check out our other listings and have a great day!
 *Your purchase is 100% guaranteed. If you are not happy with your purchase, please contact us BEFORE leaving feedback, starting a dispute, or starting a return through Swappa/PayPal. (Devices being sold on Swappa are subject to Swappa policy.) We provide easy return solutions if you are not satisfied. Please be aware that an 18% Restocking fee is enforced on Return/Refunded Sales. *Terms & Conditions may apply*
 
 Damage description
 9.7/10 Condition: Light scuffs/scratches on body (Pictured.)",3
"APPLE IPHONE 6S PLUS UNLOCKED ROSE GOLD 64GB 30 DAY WARRANTY FAST SHIPPING 
 
 Based off our experience, We pride ourselves with the quality of devices that we sell, As well for the service we provide Pre/Post sale.We Test each device to confirm that it is FULLY Functional, We offer 30 days ofwarranty for Any functionalityissues that may occur, We can accept a return for a refund or replacement. For a quality device Choose Qualitycells!
 All orders ship within 1 business day . 
 Devices come with a compatible generic charger. (No warranty on chargers)
 
 Damage Description
 
 CONDITION-GOOD.100% Fully function tested using â€œPhonecheckâ€ which runs a 50 Point test. We aim for 8/10 overall condition on these units. May have signs of use such as scratches, Nicks, Scuff Etc.Device may have light scratches on the screen. Please see pictures above for detailed signs.Device is GSM Unlocked , Meaning it will work with all gsm carriers worldwide. CDMA/GSM Unlocked devices will work with both CDMA And GSM Carriers worldwide.
 
 
 
 All devices must be fully functional and meet our criteria for sale.",3
Selling as-is for parts.,0
Used with a few scratches and 1 dent in the back of the case.,2
"Not used too often back then, just recently found it again. Pretty great condition and works perfectly. The bubbles on the screen are because of the screen protecter on it, but i have no problem taking it off before i ship it. :)",3
"Device tested 100 percent fully functional. The glass on this device is slightly lifting however it does not affect the functionality of the device. This phone is in fair condition with markings on the display which do not affect visibility when the device is powered on. Housing shows nicks and dings. Backing has some markings. Accessories such as SIM Cards and SD Cards are not included. Stock photos used. This device is only guaranteed to work with the carrier that is advertised on this listing and branded on the device.Due to very specific requirements, we cannot guarantee the device will work with any MVNO pre-paid carrier.",2
GOOD TO GREAT (few signs of any normal wear and tear or better...view photos).Phone has been thoroughly tested and works well.,3
Phone powers on and works but it doesn't stay charged. Jumps from 5%-100% and then dies very quickly. Selling AS IS for parts/repair.,0
"GOOD (normal wear and tear or better...view photos).We have tested this phone thoroughly, and everything is fine with it besides the following:The mute slider on the left edge of this phone doesn't work properly. The phone is always unmuted. However, you can turn on Assistive Touch to mute and unmute the phone with on-screen controls.",1
"IPhone SE 16gb with case
 Used IPhone SE in excellent shape with slight marks that comes with new aftermarket charger and used case. Has excellent 94% battery life and is unlocked to any carrier.Will ship same day fast shipping.
 
 Damage description
 Slight signs of use",3
iPhone 8+ RED. Great condition. No scratches. Comes with box and charger. 64GB Verizon carrier.,4
"EXCELLENT â€“ iPhone 6 - 16GB (AT&T) iOS 12.1â€“ Buy with Confidence!
 
 Phone tested 100% fully functional.
 Phone is for AT&T with battery health of 96%
 Cosmetic condition of the phone is excellent. Phone has light marks, nicks, and/or scratches from use.
 Comes with phone only.
 Does not include charger, USB, SIM Card, Ear Buds or any other accessories.
 We are a business seller with hundreds of positive reviews on Swappa.
 Buy with confidence and we accept full returns from 14 days after delivery. We will give you a 100% refund if you are not satisfied.
 No waiting, we always ship the next business day!
 
 Damage Description
 
 No Damage
 
 
 
 All devices must be fully functional and meet our criteria for sale.",3
"In good condition but shows signs of wear and tear. Has a scratch on the top right and left of phone, scratches on phone and scratches on back. Has brand new tempered glass. Phone works fine, battery percentage is 94%, if you want a new battery I can install one for additional charge.Phone will be updated to latest IOS 12.3.1. Phone does not come with Charger only case.",2
Please read the description below for exact details about the issues with this device. The device has the following issues: LCD Damage,1
"company phone, provided to our employees, in great condition, no dents or noticeable scratched, screen in excellent condition, there is a little gap between the screen and the frame(shown in the picture) but does not impact the operation of the phone. Phone factory reset and GSM unlocked. IMEI number provide in the picture.",2
"Swappa Trusted Seller: iPhone 7 - 128GB - Unlocked!
 This phone has been FULLY inspected and will ship same business day via PRIORITY MAIL! Comes with charge brick and cable.Each phone is checked for the following before shipment:â€¢ LCD Conditionâ€¢ Touch Functionâ€¢ Charge Portâ€¢ Power Buttonâ€¢ Home Buttonâ€¢ Touch IDâ€¢ Front Cameraâ€¢ Rear Cameraâ€¢ Microphoneâ€¢ Speakerâ€¢ Ear Speakerâ€¢ Headphone Jackâ€¢ Cellular Service (Test Phone Call)â€¢ IMEI Checkâ€¢ Wifiâ€¢ Camera Flashâ€¢ Siriâ€¢ Volume Upâ€¢ Volume Downâ€¢ Toggle Switchâ€¢ Battery Level (above 80%)â€¢ FMI Offâ€¢ Bluetoothâ€¢ Vibrate/Haptic Feedbackâ€¢ Proximity Sensorâ€¢ Wireless Charging (if applicable)90-Day Warranty DOES NOT apply to: â€¢ Water/liquid damageâ€¢ Damage caused by improper use of an adapter/charger or voltageâ€¢ Any software-related issuesâ€¢ Any other physical damages caused by dropping or improper use of force applied to the itemâ€¢ Any issues that arise after repair from another entity. Aesthetic condition is not covered by warranty
 
 Damage description
 Very light wear, nearly mint condition, no blemishes",3
"Practically new, no cracks or screen damage, powers on and functions properly",3
"Selling iPhone 8Plus 64GB. The phone is in good working condition, only issue the phone has a crack back screen, besides that phone works perfect. The phone is also Unlocked (works with any GSM service)...",2
"UNLOCKED IPHONE X 64GB ** LIKE NEW , SHIPS FAST , BATTERY 100%
 The phone was barely used , battery health 100% , unlocked for use here and international, Apple warranty still valid till January 2020, you will love it . Thanks for looking",4
Good Condition - For use on the Sprint network - Clean IMEI - No iCloud Lock,3
"IPHONE 7 PLUS, 32GB, UNLOCKED, NO CHARGER, NO ACCESSORIES, COMES WITH OTTERBOX CASE, FMIP OFF, CLEAN IMEI, IC OFF, IN PERFECT CONDITION, 10/10",4
NEAR MINT (few signs of any normal wear and tear or better...view photos).Phone has been thoroughly tested and works well.,3
"iPhone 6 in Great Shape!
 
 Minimal wear. No cracks in screen. Always have had in a case.
 
 Damage Description
 
 Minimal wear. No cracks in screen.
 
 
 
 All devices must be fully functional and meet our criteria for sale.",3
"IPhone X 256GB Tmobile unlocked +apply warranty 7/31/2019 with charger and accessories 
 IPhone X 256GB Tmobile AT&T Verizon GSM unlocked with brand new charger and accessories. No box. Mint condition warranty exchange sill in plastic on it. Apple warranty until July 31,2019",4
"*New* (64gb)
 
 -White iphone Xr will work with A&t or Cricket 
 -Comes with original charger and cable
 -Plastic cover on screen",4
"GREY 64GB
 Clean iCloud
 Phone only (no charger or other accessories included)
 No SIM card included.
 I can only guarantee that this phone will work with the service provider listed, I make no guarantees that this phone is unlocked or can be unlocked.
 
 Damage description
 7/10. Phone has some scratches on the screen and on the body of the phone.",2
9 out of 10! Free delivery! Fits U.S.Cellular+GSM Carriers!Excellent cosmetic condition! Please see real pictures and check all details below!,3
"Device powers on, iCloud LOCKED, IMEI is clean, carrier locked, screen and frame show minimal wear, PARTS ONLY",0
"This phone has been factory reset and is in good working order. This item is in good cosmetic condition. We are not responsible for the IMEI being clean (we are only selling the phone), it will be shown in the photos you will have to check to make sure its compatible for your network and will work for you. This only comes with what is shown in the photos. Please see photos for more details. *Bad ESN*",0
"**PLEASE READ**
 **NO TRADES**
 Unlocked Jet Black IPhone 7 128GB
 -Good Condition, some scratches (see pics)
 -WORKS FOR ALL CARRIERS WORLDWIDE
 -No locks, clean imei, pop your sim in and itâ€™s ready 
 -Comes with phone only 
 
 Located in Parkville 
 Price $270",2
"iPhone 6s | 64GB | Unlocked | Near mint | 30 day returns | Charger and cable
 
 Whatâ€™s included:1x iPhone1x aftermarket Lightning Cable1x aftermarket USB Power Adapter
 30 DAY MONEY BACK GUARANTEE - Does not cover damage caused by user
 
 Damage Description
 
 The phone has two very small scratches near the bottom on the back (as pictured) This phone is otherwise flawless.
 
 
 
 All devices must be fully functional and meet our criteria for sale.",3
"iPhone 4s 16gb Unlocked 
 Excellent working 
 Good condition 
 Clean iCloud 
 Clean imei 
 Charger usb cable",3
"<JUNK> This iPhone has been fully tested and been reset to factory settings by a certified technician but the battery has not good. iPhone is in good working order with moderate wear and tear including scratches, scuffs, dings and blemishes. Those are all real photos. No SIM card and accessory is included. Small scratches or dirt are not considered function defects, consecuently they are not reason to return the phone. Also we can not take photos device are already ready to ship from warehouse.",0
"This iPhone has been tested and has a bad earpiece, loudspeaker, and headphone jack. The microphones in this phone are also bad. For this reason, we are selling this item as is for parts or repair.It will show signs of use on the screen including scratching and/or dings on the sides and back casing.Original packaging is NOT included. GSM Unlocked - This phone is designed to work with the GSM carriers such as AT&T, T-Mobile, etc. A SIM card is not included.",0
"Description
 
 Phone is 3 months old in excellent condition with very little to no signs of use. Comes with charger only
 
 Damage Description
 
 Minor wear
 
 
 
 All devices must be fully functional and meet our criteria for sale.",3
The Home button doesn't work. Every other part of this Phone is Fully Functional. Phone's overall cosmetic condition is 8 out of 10,1
"iPhone X 
 One mint condition iPhone X Space Gray 64 GB. Includes one applied screen protector, two replacements, and a slightly worn Apple branded black leather case. Phone is A1901 model. It is an unlocked GSM phone. Note, this model will not work on CDMA network. No charger/headphones. No trades. iOs 12.1.2. Battery health is at 99%.",4
"iPhone 7 Plus 128GB AT&T
 In great condition- always used with a screen protector and case. Very few signs of use.Battery at 89% capacity. 
 
 Damage description
 Some dust",3
This item is used and does show minor signs of wear from normal use.,3
The screen's glass has a small crack at the bottom left corner. The LCD has a faint line and spot visible against bright backgrounds. Everything else is fully functional and works as intended! SOLD AS IS. NO RETURNS. Please reference ACTUAL photos and listing for further details. DOES NOT INCLUDE CHARGER.,1
great used condition. works for Verizon. no accessories. clean.,4
"Up for sale is a Space Gray iPhone 6 16G A1549 AT&T that has a CLEAN ESN, IMEI: 359296061667318, and NO ICLOUD ACCOUNT LOCKS. This device has a BAD LCD/DIGITIZER with a very weakly lit screen, dark spots, and lines running through it. It is SEVERELY CRACKED on the front right side of the device with some glass missing in the top right corner; as well as, glass missing around the home button. The back housing has scratches and discoloration from where a case was resting on it for a prolonged period of time. There is a slight bend in the housing that is difficult to see in photos. This listing is for the PHONE ONLY and does not include any box, chargers, or accessories. Please take a moment to review the photos before purchase. Thank you!",1
"This phone powers on but as pictured the screen is OBLITERATED and i cannot tell if it is apple id locked or any specifics about it. AGAIN i repeat this phone is being sold as BROKEN as in BROKEN DAMAGED NOT WORKING NON FUNCTIONAL FOR PARTS. UNDER NO CIRCUMSTANCES IS THIS PHONE BEING SOLD AS WORKING FULLY, IT POWERS ON BUT THAT IS ALL KNOW. IF YOU DO NOT UNDERSTAND THIS PLEASE REFRAIN FROM PURCHASING THIS PHONE IF YOU BELIEVE IT TO BE ANYTHING BUT PARTS.seriously this thing is parts parts/repair only parts phone is broken if you have scrolled this far i applaud your perseverance but this phone is still broken.there is a picture of the imei number on the sim try however as those can be replaced i can not in good faith guarantee that it is the the imei of this phone so it is still being sold AS-IS PARTS/REPAIR BAD IMEI/ESN",0
"*NO ID Activation lock. iCloud is clear and ready for a new owner(picture 2). This phone has a bad esn for Metro PCS. Is locked to Metro PCS. This phone is in near mint condition. I looked this phone over and up close under a bright desk lamp and I could not find any imperfections like nicks or scratches. Cameras, touch, speakers, wifi, charge port, battery(currently shows 100% health), and all buttons(including touch ID) have been tested and all those functions work perfect. The phone reads when a SIM card is installed, although I can not make a test call since it is BAD ESN, no guarantees on those functions.",4
"100% Functional | Certified Guarantee | 60 Day Warranty & Free Returns | FREE Next Day Shipping
 
 Carrier: Verizon Unlocked (Can be used on any network)
 Accessories: None; Phone only
 30-Point Functionality Test: All of our devices have been thoroughly inspected, surgically cleaned (PhoneSoap) and rigorously tested through our quality control program to ensure that they are in the exact condition we list them as to ensure Customer Satisfaction.
 Certified Guarantee: 100% functional and ready to be activated.
 Shipping: We ship all devices next business day via USPS (1-5 business days) will be sent with Delivery Confirmation.
 Our Warranty: Returns can be made within 60 days from the delivery date on defective items. Must be in the same condition. A free shipping label will be provided. We reserve the right to charge a 20% restocking fee for buyers remorse returns. We reserve the right to charge a 20% restocking fee for abusing the return process; stating there is a problem that cannot be found by our technicians upon reviewing the returned product.
 
 Damage Description
 
 The device is 100% fully functional, and all activation locks have been removed. Battery health is in Good Condition (85% Capacity). The device's screen may have little to no scratching. The device may have a few small cosmetic defects, scratches, chips in housing, etc. that can easily be overlooked.
 
 
 
 All devices must be fully functional and meet our criteria for sale.",3
This is a damaged unit. See photos for cosmetic condition.,1
"Great Condition - Item has some minor scratches. Does not come with charger, box or headphones. (Actual device pictured)",3
"Used Acceptable its an B Stock Condition Phone is 100% functional and has been tested and verified as per industry standards.There are signs of wear such as scratching and/or scuffing. NO HEADPHONES, SIM Card and manual are NOT included, Comes in which a cube and Charger in generic box and ready for reuse. We give 30-day warranty on this Product.***2-3 Day Expedite Same-Day Shipping***",2
Good condition with small signs of usage on the edges. Functions 100% with a clean ESN and no iCloud account attached to it.,3
"New condition, Customer return,will have some minor cosmetic imperfections NO box, Good for Activation,Accessories included",3
