ModelName,Carrier,Storage,Color,Value,ItemDescription
iPhone 7 Plus,verizon,128 GB,gold,320,"35 Point Inspection, & 100% Functional. Please read the description. May have a few scratches, minor dings and small scrapes on the edges, and/or some scuffs on the housing from normal pocket ware."
iPhone 6s,verizon,64 GB,gold,118,"This iPhone has been certified by our industry-leading mobile diagnostic software to be fully functional except for having a bad touch ID.  It is in GOOD cosmetic condition showing normal signs of use on the screen along with scratching and/or dings on the sides and back casing.  This phone is fully functional with Verizon and GSM carriers such as AT&T, T-Mobile, etc.  It will not activate with Sprint.  Premium aftermarket charger is included.  Original packaging and SIM card are not included."
iPhone 7 Plus,unlocked,32 GB,black,286,Excellent 'A grade' condition. This iPhone is fully functional and cosmetically like new.
iPhone 8 Plus,unlocked,256 GB,space gray,350,Used iPhone -SOLD AS IS FOR SALVAGE/PARTS. There are some scratches and wear on the screen and housings (see pics)
iPhone SE,verizon,64 GB,space gray,90,"“““Used, Key Functions Tested. Moderate Wear, iCloud Unlocked. Clean IMEI Number and NO SIM CARD INCLUDED. Scratches on Screen and back. Scuffing on sides. ”””"
iPhone X,at&t,64 GB,space gray,200,The phone will not turn on and DOES NOT WORK! I am selling just the phone for parts only. The exterior of the phone is in great condition - please see photos. There is no water damage. The phone turned off permanently upon impact with the ground while a screen protector was on it.
iPhone Xs,unlocked,64 GB,space gray,609.75,PLEASE CHECK DESCRIPTION BOX! Device has cracked battery cover!! For GSM Carriers! Clean ESN! 64GB! Free Fast Delivery! Look at real pictures!
iPhone 6 Plus,verizon,16 GB,silver,86,"This iPhone has been certified by our industry-leading mobile diagnostic software to be fully functional except for having a bad touch ID.  It was a customer return, demo, or display unit and is in EXCELLENT Grade A 9+/10 cosmetic condition showing only extremely light signs of wear from handling. This phone is fully functional with Verizon and GSM carriers such as AT&T, T-Mobile, etc.  It will not activate with Sprint. Premium certified charger is included. Original packaging is NOT included. A SIM card is not included."
iPhone 8 Plus,unlocked,64 GB,silver,379.99,"This phone is in used condition, works fine, does has some marks on the screen."
iPhone 7 Plus,unlocked,32 GB,black,329.99,Near Mint condition.  Phones will have very minimal wear on the housing or screen.
iPhone X,at&t,64 GB,silver,320,"B-Grade (See item description for detail). Partially functional ( Face ID not work, scratched screen, bezel, back)"
iPhone 8 Plus,t-mobile,64 GB,gold,199.99,iPhone fully functional. Light scratches and scuffing. (See Pics). BAD ESN - Cannot be activated on any network. Touch ID not working as the home button has been replaced with a new one
iPhone 6s Plus,unlocked,128 GB,space gray,293.05,"This Factory Unlocked Space Gray 128GB Apple iPhone 6S Plus is in NEW cosmetic condition. It looks amazing. I could not find any marks. If there is anything I missed, it is very light. The battery health is at 99% on this phone! It comes with the original box and comes with an Apple OEM USB cable and an Apple OEM Wall Adapter. Don't miss this great deal. Buy now and I will ship it within 1 business day. And it comes with my 30-Day Risk-Free Warranty! I AM INCLUDING A SUPER NICE TEMPERED GLASS SCREEN PROTECTOR WITH THE SALE AS WELL!"
iPhone 8,verizon,256 GB,space gray,374.99,"Please see ad for details. A list of what is tested on the device(s) is provided. Previously used device(s) that may show signs of use such as scratches, scuffs, normal cosmetic wear, etc. Device(s) has a clean IMEI and is data wiped."
iPhone 4S,at&t,16 GB,black,21.5,"Cosmetic Condition: This phone is in good preowned condition. It has some general wear. Item has been factory reset. Headphone jack and speaker work. Home button, volume controls, and power button have been tested and function. Item registers as charging. Battery life is untested and we claim no liability for bad batteries. Item has been tested to connect to Wi-Fi. This has not had further testing done and other defects could be present. SIM card has been removed. This phone will only work with the carrier stated in the listing. It will only work in the continental US unless otherwise stated. Phones do not come with active SIM cards and new SIM card or service plan will need to be purchased before phone is fully usable. This item is a donation and we do not know the history of the item. Please see photos for further details."
iPhone 8 Plus,t-mobile,64 GB,silver,259.99,"Item is in excellent cosmetic condition and functions normally, but it is being sold FOR PARTS AS-IS for having a BAD ESN. Thanks for your interest!"
iPhone 6,verizon,16 GB,gray,63.85,"Fingerprint Reader does not work. 35 Point Inspection, & 97% Functional. Please read the description. May have a few scratches, minor dings and small scrapes on the edges, and/or some scuffs on the housing from normal pocket ware."
iPhone 6s,sprint,64 GB,space gray,29.99,Used iPhone -SOLD AS IS FOR SALVAGE/PARTS. There are some scratches and wear on the screen and housings (see pics) and there are the following known defects:
iPhone 5s,at&t,16 GB,gray,107.5,"Cosmetic Condition: This phone is in good preowned condition. It has some general wear. Item has been factory reset. Headphone jack and speaker work. Home button, volume controls, and power button have been tested and function. Item registers as charging. Battery life is untested and we claim no liability for bad batteries. Item has been tested to connect to Wi-Fi. This has not had further testing done and other defects could be present. SIM card has been removed. This phone will only work with the carrier stated in the listing. It will only work in the continental US unless otherwise stated. Phones do not come with active SIM cards and new SIM card or service plan will need to be purchased before phone is fully usable. This item is a donation and we do not know the history of the item. Please see photos for further details."
iPhone 5s,unlocked,16 GB,silver,44.99,"iPhone works in excellent condition. There are no scratches or issues, though there is some very mild wear on the back. Iphone is locked to StraightTalk. It has been booted back to factory settings."
iPhone Xs Max,verizon,64 GB,gold,639.75,PLEASE READ DESCRIPTION! Back cover is cracked! Verizon+GSM Unlocked! Clean ESN! Free Fast Delivery! See real pictures!!!
iPhone 5s,at&t,16 GB,gray,112.5,"Cosmetic Condition: This phone is in good preowned condition. It has some general wear. Item has been factory reset. Headphone jack and speaker work. Home button, volume controls, and power button have been tested and function. Item registers as charging. Battery life is untested and we claim no liability for bad batteries. Item has been tested to connect to Wi-Fi. This has not had further testing done and other defects could be present. SIM card has been removed. This phone will only work with the carrier stated in the listing. It will only work in the continental US unless otherwise stated. Phones do not come with active SIM cards and new SIM card or service plan will need to be purchased before phone is fully usable. This item is a donation and we do not know the history of the item. Please see photos for further details."
iPhone 6s,at&t,32 GB,space gray,202.5,"Cosmetic Condition: This phone is in good preowned condition. It has some general wear. Item has been factory reset. Headphone jack and speaker work. Home button, volume controls, and power button have been tested and function. Item registers as charging. Battery life is untested and we claim no liability for bad batteries. Item has been tested to connect to Wi-Fi. This has not had further testing done and other defects could be present. SIM card has been removed. This phone will only work with the carrier stated in the listing. It will only work in the continental US unless otherwise stated. Phones do not come with active SIM cards and new SIM card or service plan will need to be purchased before phone is fully usable. This item is a donation and we do not know the history of the item. Please see photos for further details."
iPhone 6,verizon,16 GB,gray,32,Screen is broken as you can see in the picture.  Touch functions still seem to work along with the rest of the phone but it has been dropped and damaged.  No SIM included.
iPhone 7,unlocked,128 GB,rose gold,339.99,"This phone comes in original packaging with (USB cable, charging block, headphones and ejection pin). Condition 10/10 and functionality 10/10. There is 90 days Warranty from us."
iPhone 8,t-mobile,64 GB,space gray,187.5,This phone powers up fine and all buttons work fine. Has some light wear on back but screen looks great. Being sold for parts and not as a working phone. No iCloud.
iPhone 7,unlocked,128 GB,red,66,"This iPhone has been tested and will not power on. An attempt to replace the battery was made. This is a board-level repair. For this reason, we are selling this item as is for parts only.  It will show signs of use on the screen including scratching and/or dings on the sides and back casing. Original packaging is NOT included. Verizon Unlocked - This phone is designed to work with Verizon and GSM carriers such as AT&T, T-Mobile, etc. A SIM card is not included."
iPhone 7,unlocked,32 GB,black,184.95,"Please Read! This Phone is in Manufacturer Refurbished Condition. Meaning 100% Full Functional & in Excellent Cosmetic Condition, With The Possibility of a Few Light Marks or Scratches. Phone is GSM Unlocked Being Fully Functional With T-Mobile, AT&T & All Other GSM networks. It Will NOT Work on Sprint, Verizon, Boost, Virgin Mobile or Any Other CDMA Network. Please Read Description! Please See Photos!"
iPhone Xs,unlocked,64 GB,space gray,725.75,9/10! Excellent condition! Factory Unlocked Device! Clean ESN! 64GB! Free Fast Delivery! See actual photos! Read all details!
iPhone 6 Plus,unlocked,16 GB,gold,121.5,This is a used good condition device which shows a sign of normal use with Scratches and maybe Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the original setting.No Icloud account linked to the device.
iPhone 7,unlocked,32 GB,black,100,There is an Error Logo near the Service indicator on the phone.  And the phone stops during activation screen and shows the below. See listing for details.
iPhone 6,at&t,16 GB,silver,109.95,"Phone shows signs of normal and visible wear, with scratches, dents, and scuffs, on the body of the phone also including some scratches on the screen a few will show up while the screen is on. Blemishes are minimal but easily noticeable.  The iCloud was removed from the iPhone and Find my iPhone has been turned off. Phone only no accessories are included. Pictures are of the actual phone. This phone is for the AT&T Network."
iPhone Xs Max,sprint,64 GB,space gray,349.95,Phone has a lot of scratches on the front & back. No cracks. Please see pics. This is a Sprint phone with a bad esn so it cannot be activated. It is also Apple I.D. iCloud locked. For these reasons selling as is for parts.
iPhone 7 Plus,at&t,128 GB,jet black,289,"Black iPhone 7 PLUS in Jet Black!  Big 128GB.  Fully tested and ready to work!  100% battery! Just pop in your AT&T sim card.  Devices have blemishes in the form of scuffs and/or light to medium scratches, but there is no impact on performance!  Comes with a wall charger.  Original box and accessories are not included.  *AT&T and Cricket Locked, CANNOT be unlocked*"
iPhone 6 Plus,verizon,64 GB,gold,76.01,"This iPhone has been certified by our industry-leading mobile diagnostic software to be fully functional except for having a bad touch ID.  It is in GOOD cosmetic condition showing normal signs of use on the screen along with scratching and/or dings on the sides and back casing.  This phone is fully functional with Verizon and GSM carriers such as AT&T, T-Mobile, etc.  It will not activate with Sprint.  Premium aftermarket charger is included.  Original packaging and SIM card are not included."
iPhone 6,unlocked,16 GB,gray,77,"Space Gray; iPhone 6; Model: MN1M2LL/A, iOS Ver 12.4,  16 GB; In excellent condition"
iPhone 7,unlocked,32 GB,rose gold,209.99,Clean IMEI and ready to activate. This is a GSM unlocked phone. The phone looks good and works like new.
iPhone 5s,unlocked,16 GB,silver,50,We purchased used a couple years ago - It came with a chip top right with screen on the top loose.  Just put it in a case and used it.  Now the battery life is slowing down.  So selling as is.  Otherwise Good phone works on Tmobile and ATT.
iPhone 7,unlocked,128 GB,gold,205,This is a used good condition device which shows a sign of normal use with Scratches and Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.Icloud account removed.
iPhone Xs Max,unlocked,64 GB,silver,889.95,"Good Condition.  Comes with cord and charger. This Phone is Beautiful!   All Edges are well approximated. There are no chips, cracks or Scratches. No dents or chips.  Battery Health is 100%  IMEI # is 357270099593996, Give it a look and get to know your soon to be Phone.“This Apple iPhone Unlocked phone is in Refurbished condition. It is 100% functional but may show signs of use, including scratches and dents on the front, back, and corners of the product. If the phone does have any obvious signs of wear we do try to get pictures of them and tell you about them.  This is not A brand new Phone.  It will include an MFI certified lightning cable and UL approved power adapter. This Apple Unlocked Smartphone is fully functional with ALL networks.“"
iPhone 6,verizon,64 GB,gray,109.99,"Great quality condition items are in excellent condition, there are very minimal signs of use/wear.  These devices are guaranteed to be functional and to have a clean ESN ready to activate with the listed carrier."
iPhone 6,verizon,128 GB,gray,122.99,"Great quality condition items are in excellent condition, there are very minimal signs of use/wear.  These devices are guaranteed to be functional and to have a clean ESN ready to activate with the listed carrier."
iPhone 6s,verizon,32 GB,space gray,81.1,"This is a pre-owned Apple iPhone 6S. The unit has been wiped and the iOS has been re-installed. Item shows some signs of wear, scratches Grade C condition. (Tested and Full Functions, R2/Ready for Resale).  Pictures are of the unit listed."
iPhone Xs Max,sprint,64 GB,silver,500,Sprint iPhone Xs Max - 64GB - Sprint - Bad ESN.  Selling for parts only.  Phone is still functiona and in very good condition.  All passwords and passcodes have been removed.  Includes phone only.
iPhone 5s,unlocked,32 GB,gray,42,screen doesn't have any cracks or scratches. Phone does not have cpu. Can be used with any carrier when new cpu put in.
iPhone 6s Plus,unlocked,64 GB,space gray,80,Fingerprint Reader does not work and there is a lot of frame damage. 35 Point Inspection. Please read the description.
iPhone 7,t-mobile,128 GB,black,89.99,Phone is listed as broken because it will not work with any audio hearing or speakers
iPhone 6s Plus,verizon,64 GB,gold,431,"This iPhone has been certified by our industry-leading mobile diagnostic software to be fully functional except for having a bad touch ID.  It was a customer return, demo, or display unit and is in EXCELLENT Grade A 9+/10 cosmetic condition showing only extremely light signs of wear from handling. This phone is fully functional with Verizon and GSM carriers such as AT&T, T-Mobile, etc.  It will not activate with Sprint. Premium certified charger is included. Original packaging is NOT included. A SIM card is not included."
iPhone 6,verizon,16 GB,gray,92,"""""""""Used, Key Functions Tested. Heavy Wear, Clean IMEI Number,  iCloud Unlocked. Scratches On Screen and back.."""""""""
iPhone 6s Plus,at&t,16 GB,space gray,108,SAFE BUY! We NEVER sell iCloud Locked devices! A1634 (IMEI 353299074584229) AS IS-No Returns No Refunds - Front Glass is cracked in corner (See Pics)  Phone tested good other than glass. For use on AT&T Network.
iPhone 8 Plus,at&t,64 GB,space gray,399.95,"BRAND NEW, OPEN BOX. PLEASE DOUBLE CHECK THE IMEI# WITH SERVICE PROVIDER TO MAKE SURE YOU CAN USE IT"
iPhone 6s Plus,unlocked,128 GB,silver,194.99,"Phone is in good condition. The screen and the housing are in good condition, showing some wear.  We grade it an 8/10 cosmetic.  Please refer to auction pictures which are of the actual phone for this listing."
iPhone 7,verizon,32 GB,black,163.5,"35 Point Inspection, & 100% Functional. Please read the description. May have a few scratches, minor dings and small scrapes on the edges, and/or some scuffs on the housing from normal pocket ware."
iPhone 5s,at&t,64 GB,gold,61,This iPhone has been certified by our industry-leading mobile diagnostic software to be 100% fully functional.  It is in VERY GOOD cosmetic condition showing only minor signs of use on screen and/or casing. Premium aftermarket wall charger and USB cable are included.  Original packaging is NOT included.  This phone is locked to the AT&T network and will only activate with AT&T.  A SIM card is not included.
iPhone SE,sprint,16 GB,space gray,57.01,"very good cosmetic and working condition. no dings, dents, scratches or cracks"
iPhone XR,verizon,64 GB,red,425,Phone is brand new in open box. Factory plastic still on phone and accessories still wrapped. BAD ESN financed with Verizon and is NOT CARRIER UNLOCKED.
iPhone 8 Plus,unlocked,64 GB,space gray,424.99,"Gently used iPhone 8 Plus 64gb Space Grey comes with headphones, charger, charging cord new never used."
iPhone 7,at&t,128 GB,jet black,172.49,"Perfect condition, used AT&T iphone 7, 128 GB, Software version 12.2, Model Number MN9M2LL/A"
iPhone 8,at&t,64 GB,silver,90,Please Read The Entire Listing Before Buying.Please scroll down to read full description. Mobile users please tap "Read More" below to see the full description.
iPhone X,sprint,256 GB,space gray,479,"Pre-owned; in overall very good working condition with light scratches and wear. The screen is in good condition with few light scratches at the top right part. Overall, phone is in good condition with light scratches and wear. The phone is locked to Sprint. There is no iCloud on this device. Comes with a new USB Lightning cable."
iPhone 6 Plus,at&t,64 GB,space gray,190.69,Condition and Packaging: Scratch and Dent Refurbished Brown/White BoxThe warranty is through us for 90 Days.
iPhone 6s,unlocked,128 GB,space gray,126.77,"NEAR MINT (few signs of any normal wear and tear or better...view photos).   We have tested this phone thoroughly, and everything is fine with it besides the following:  The battery on this phone isn't as strong as it should be. I charge phones overnight, unplug them, run them through a series of tests, then reset them, then check the battery charge level. Usually they're at 98 to 99%, but this phone was at 95% after the test. Only buy this phone if you can deal with this or if you plan to replace the battery."
iPhone 8,at&t,64 GB,space gray,335,"Great - pictures of the actual item. Apple Warranty till Febr. Original box, charger and Earpods will be included"
iPhone 6s,unlocked,32 GB,space gray,119.99,"Gently Used - Tested Working and functional. Unit will have minor scuffs, dents and scratches. Please view Pictures for Cosmetic Condition. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network."
iPhone 7,verizon,32 GB,black,91,"This device is  a 32GB, Black iPhone 7 for the Verizon network. This device has a clean ESN and can be activated on the Verizon network. This device does not get service. FOR PARTS. NO RETURNS. SELLING AS IS. Everything else is fully functional. There are a couple very light small scratches on the screen. There are a few small light scuffs on the edges of the housing.There is some wear on the back housing."
iPhone X,at&t,64 GB,silver,170,"Blocked Apple ID, iCloud Status: Clean, Broken LCD, Broken Rear Glass. IMEI Number: 354861091742087 Status: CLEAN. For parts or not working, Only for pieces- (NO RETURN)"
iPhone 6s,verizon,32 GB,space gray,128.5,"""""""""""Used, Key Functions Tested. Moderate Wear, iCloud Unlocked. Clean IMEI Number and NO SIM CARD INCLUDED, Scratches On Screen."""""""""""
iPhone 7,verizon,32 GB,black,181.39,"Used, Key Functions Tested. Heavy Wear, iCloud Unlocked. Clean IMEI Number and NO SIM CARD INCLUDED, Scratches On Screen and Back. Stains on back."
iPhone 6 Plus,unlocked,64 GB,gold,189.5,This is a used good condition device which shows a sign of normal use with Scratches and Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.No Icloud account on the device.
iPhone XR,unlocked,64 GB,white,499.99,This phone is in near excellent shape with a couple of brief scratches on the bottom back. Includes all accessories. Clean ESN.
iPhone 6,unlocked,16 GB,gray,73.99,"Device tested 100 percent fully functional. The glass on this device is slightly lifting however it does not affect the functionality of the device. Device has spots on the display which are more visible on a white background. This phone is in fair condition with markings on the display which do not affect visibility when the device is powered on. Housing shows nicks and dings. Backing has some markings. Accessories such as SIM Cards and SD Cards are not included. Stock photos used. This device is only guaranteed to work with the carrier that is advertised on this listing and branded on the device.  Due to very specific requirements, we cannot guarantee the device will work with any MVNO pre-paid carrier."
iPhone 6s,sprint,32 GB,space gray,44.95,Phone is cracked & LCD does not work. The phone does get power because as you can see in the pic that it slightly lights up. Because of the cracked LCD all functions could not be tested. This a Sprint phone with a bad esn so it cannot be activated. There is no iCloud account  attached. Selling as is for parts. IMEI is 356137095128054
iPhone 7 Plus,verizon,128 GB,black,301.9,Please read the description below for exact details about the issues with this device. The device has the following issues: LCD Damage
iPhone 6 Plus,unlocked,128 GB,gold,145.5,Please read the description below for exact details about the issues with this device. The device has the following issues: Cracked Screen
iPhone 6s,unlocked,64 GB,gold,107.5,"Please read the description below for exact details about the issues with this device. The device has the following issues: Cracked Screen, LCD Damage, Touch ID"
iPhone 6,verizon,64 GB,gold,86,"Please read the description below for exact details about the issues with this device. The device has the following issues: Aftermarket LCD, LCD Damage"
iPhone 5s,unlocked,16 GB,gray,51,Please read the description below for exact details about the issues with this device. The device has the following issues: Aftermarket LCD
iPhone 6,verizon,16 GB,gray,80,Please read the description below for exact details about the issues with this device. The device has the following issues: Cracked Screen
iPhone 6s Plus,unlocked,32 GB,space gray,158.5,This is a used good condition device which shows a sign of normal use with Scratches and Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.Icloud account removed.
iPhone X,t-mobile,256 GB,space gray,649.99,This phone is in great condition.  It was recently purchased and only has minor signs of wear.  It is unlocked and currently being used on Verizon's network.
iPhone 7,unlocked,256 GB,jet black,210,always used lovingly with a case.  Never outside a case.   No cracks.   A few minor scratches.   Battery replaced.
iPhone 8 Plus,sprint,64 GB,silver,259.99,iPhone fully functional. Light scratches and scuffing. (See Pics).  BAD ESN - Not activate-able
iPhone 8 Plus,unlocked,64 GB,space gray,429.99,Phones are in excellent condition. The screen and the housing is excellent condition 9/10 cosmetic.  Very minor wear.
iPhone 7,unlocked,32 GB,black,190.8,This is a used good condition device which shows a sign of normal use with Scratches and Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.Icloud account removed.
iPhone 5s,verizon,16 GB,gray,36,Please read the description below for exact details about the issues with this device. The device has the following issues: LCD Damage
iPhone 6s,verizon,32 GB,gold,128.5,"““Used, Key Functions Tested. Moderate Wear, iCloud Unlocked. Clean IMEI Number and NO SIM CARD INCLUDED, Scratches On Screen.””"
iPhone 4,verizon,16 GB,black,13.97,Phone is in working condition. See photos for details. Factory reset and ready for use.
iPhone 6 Plus,verizon,16 GB,space gray,85.88,"This iPhone has been certified by our industry-leading mobile diagnostic software to be fully functional except for a bad touch ID.  It was a customer return, demo, or display unit and is in EXCELLENT Grade A 9+/10 cosmetic condition showing only extremely light signs of wear from handling. This phone is fully functional with Verizon and GSM carriers such as AT&T, T-Mobile, etc.  It will not activate with Sprint. Premium certified charger is included. Original packaging is NOT included. A SIM card is not included."
iPhone 8 Plus,unlocked,64 GB,space gray,400,"Good Condition. Phone Is Beautiful edges well approximated, no separations.  A few scratches on the front of screen towards the bottom and around the home button of the phone.  No cracks.  This Phone is Nice. The Phone itself Is All original.Comes with Charging Plug and Cord. The IMEI for this Phone is 352980090596351.  Go ahead and Google it to get to know your soon to be phone With 64 GB“This Apple iPhone 8 64GB  Unlocked phone is in Refurbished condition. It is 100% functional but may show signs of use, including scratches and dents on the front, back, and corners of the product. If It The phone does have any obvious signs of wear we do try to get pictures of them and tell you about them.  This is not A brand new Phone.  It will include an MFI certified lightning cable and UL approved power adapter.  This Apple iPhone 8 64GB  Unlocked  is fully functional with ALL networks. Nothing Broken Nothing Replaced."
iPhone 5c,unlocked,16 GB,white,46,"Gently Used - Tested Working and functional. Unit will have minor scuffs, dents and scratches. Please view Pictures for Cosmetic Condition. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network."
iPhone XR,at&t,64 GB,white,349,Tested and fully functional but has a bad IMEI on AT&T. Blacklisted.
iPhone 6,unlocked,16 GB,gray,74,This is a used good condition device which shows a sign of normal use with Scratches and Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.Icloud account removed.( No icloud account associated with the device. )
iPhone 7,unlocked,32 GB,rose gold,275,"Apple iPhone 7 - 32GB - Rose Gold (Unlocked) A1660 (CDMA   GSM) open box,"
iPhone 7,verizon,32 GB,rose gold,249,"Excellent condition, never damaged, stored in case from day one, one owner, smoke-free home."
iPhone 8 Plus,unlocked,64 GB,space gray,429.99,Phone is in great condition. The screen and the housing is in great condition.  We grade it an 8.5/10 cosmetic.  Minor wear.  Please refer to auction pictures which are of the actual phone for this listing.
iPhone SE,unlocked,32 GB,silver,83,"Gently Used - Tested Working and functional. Unit will have minor scuffs, dents and scratches. Comes with Charge Cable. Unit is UNLOCKED to be USED WORLDWIDE on ANY GSM Network."
iPhone 6s,unlocked,64 GB,rose gold,128.5,"Used in good condition. Some slight scuff marks as pictured on the phone. Screen is in excellent condition. Not iCloud locked, phone is clean, not blacklisted. Check pictures for confirmation."
iPhone 6s,unlocked,32 GB,rose gold,112,This is a used good condition device which shows a sign of normal use with Scratches and Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.Icloud account removed.
iPhone 7 Plus,unlocked,32 GB,rose gold,272,This is a used good condition device which shows a sign of normal use with Scratches and Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.No Icloud account on the device.
iPhone X,unlocked,64 GB,space gray,620,Mint condition Apple iPhone X - 64GB - Space Gray (Factory Unlocked)
iPhone 7 Plus,at&t,32 GB,black,200,iPhone 7 plus 32gb black at&t bad esn with at&t. this device it's not unlocked its for at&t only. phone is used it has scratches on the side and on the back. phon has been fully tested and everything works fine. no box no accessories
iPhone 6,unlocked,16 GB,gray,79.95,The front screen is in great condition with a few light scuffs (see pictures). The back is in good condition with some scuffs and discoloration around the camera (see pictures). The sides are in good condition with some minor scuffs and nicks (see pictures). All buttons and both cameras work great. Does not include original box or charger. Overall the iPhone is in good condition and is not iCloud locked.
iPhone 7,unlocked,32 GB,gold,169,"This device is in overall really great cosmetic condition. The screen has a few scratches that you can kind of see on it. The frame and back look a lot better. See pictures for more details.  Battery health shows 86%. This device is completely functional, but the home button makes a very high pitched metallic noise when clicked. So that might need to be repaired."
iPhone 6s Plus,unlocked,64 GB,space gray,179.99,"Phone is in good condition. The screen and the housing are in good condition, showing some wear.  We grade it an 8/10 cosmetic.  Please refer to auction pictures which are of the actual phone for this listing."
iPhone 6s Plus,unlocked,16 GB,space gray,159.99,"Phone is in good condition. The screen and the housing are in good condition, showing some wear.  We grade it an 8/10 cosmetic.  Please refer to auction pictures which are of the actual phone for this listing."
iPhone X,unlocked,64 GB,silver,249,Phone does not power on. Does not charge or respond to charger. Broken item. Selling for parts.  Find My iPhone is OFF.
iPhone 7,unlocked,256 GB,gold,699.8,Ready for activation. Mint cosmetic. Coming with charger and cable. Fully functional. Will work on any network in the USA and worldwide.
iPhone 6 Plus,unlocked,16 GB,gold,145.5,This is a used good condition device which shows a sign of normal use with Scratches and Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.No Icloud account on the device.
iPhone 7,unlocked,256 GB,red,699.8,Ready for activation. Mint cosmetic. Coming with charger and cable. Fully functional. Will work on any network in the USA and worldwide.
iPhone 5,at&t,32 GB,white,24.99,The phone is being sold for parts or repair because the home button does not work and the screen is lifting. Please read the full description.
iPhone 6,verizon,16 GB,silver,89.99,"These devices have minor signs of wear from normal use. There may be some scratches or dings on the device, but nothing major. These devices are guaranteed to be functional and to have a clean ESN ready to activate with the listed carrier."
iPhone 6,verizon,16 GB,gold,89.99,"These devices have minor signs of wear from normal use. There may be some scratches or dings on the device, but nothing major. These devices are guaranteed to be functional and to have a clean ESN ready to activate with the listed carrier."
iPhone X,verizon,256 GB,space gray,996,Immaculate Apple iPhone X 256GB with Clear ESNiOS 11.2.1 (Jailbroken Using unc0ver- Semi-Untethered) - RARE
iPhone 6,sprint,16 GB,gray,54.99,"DEVICE CANNOT BE UNLOCKED! FOR USE ON THE SPRINT NETWORK ONLY! Device tested 100 percent fully functional. The glass on this device is slightly lifting however it does not affect the functionality of the device. A ring that goes around the front facing camera lens on this device is shifted however it does not affect the visibility or functionality of the camera. This phone is in fair condition with markings on the display which do not affect visibility when the device is powered on. Housing shows nicks and dings. Backing has some markings. Accessories such as SIM Cards and SD Cards are not included. Stock photos used. This device is only guaranteed to work with the carrier that is advertised on this listing and branded on the device.  Due to very specific requirements, we cannot guarantee the device will work with any MVNO pre-paid carrier."
iPhone 7,sprint,32 GB,black,115,Bad IMEI...cannot be activated on a Sprint account.  Device is fully functional.
iPhone 6s Plus,verizon,64 GB,space gray,113.5,iPhone 6S Plus 64GB - non-functional Home ButtoniPhone 7 - Power Issues
iPhone 7,unlocked,32 GB,black,191.5,This is a used good condition device which shows a sign of normal use with Scratches and Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.Icloud account removed.
iPhone 6 Plus,unlocked,16 GB,gold,99.99,"Touch ID does not work, loudspeaker does not work, battery dies quickly and random percentages, and volume buttons do not work. Small brighter spots on the screen that can be seen on a white background. All other functions including the home button work 100% with a clean ESN and no iCloud account attached to it."
iPhone 5,at&t,16 GB,black,19.99,"Up for sale is a Black & Slate iPhone 5 16GB A1428 AT&T that has a CLEAN ESN, IMEI: 013328003298445, and NO ICLOUD ACCOUNT LOCKS. This device is in FAIR SHAPE with NICKS, SCRATCHES, and DENTS around the sides and back of the housing. The screen has scratches on it that may be difficult to see in photos. There is PAINT PEELING on the top left corner under the top glass. There is impact damage on the corners. this listing is for the PHONE ONLY and does not include any box, chargers, or accessories. Please take a moment to review the description and photos before purchase. Thank you!"
iPhone 8 Plus,sprint,64 GB,space gray,359.99,"THE PHONE WORKS GREAT,  IT IS IN FULL WORKING CONDITION AND LOOKS GREAT !  READY FOR SPRINT CARRIER ONLY  IT IS NOT GSM UNLOCKED  .GET IT FAST ! PLEASE SEE EXACT PICTURES. CLEAN IMEI AND NO APPLE ID LOCKS, CLEAR ICLOUD"
iPhone 6s,unlocked,128 GB,space gray,199.7,"This Factory Unlocked 128GB Apple iPhone 6S is in NEW cosmetic condition. It looks amazing. I could not find any marks. If there is anything I missed, it is very light. The battery life is great on this phone (I tested it with official Apple software). It comes with the original box and comes with an Apple OEM USB cable and an Apple OEM Wall Adapter. Don't miss this great deal. Buy now and I will ship it within 1 business day. And it comes with my 30-Day Risk-Free Warranty! I AM INCLUDING A SUPER NICE TEMPERED GLASS SCREEN PROTECTOR WITH THE SALE AS WELL!"
iPhone 6,unlocked,16 GB,silver,75.99,This is a used good condition device which shows a sign of normal use with Scratches and Scuffs.The device has been tested by our internal Certified QC using Certified Software. The device has been reset to the Original setting.Icloud account removed.
